Corpus, Filename, Utterance number, Clause number, Location of clause start, Location of clause end,Speaker, Clause, Matrix (verb) language, Linguality of clause, Linguality of utterance, Dependent variable, Verb morphology, AoA minority language, AoA majority language, Mother's language, Father's language, Parental input,Primary school language,Secondary school language, Language of education, Identity, Social network
"Siarad","davies17","390","1","1","7","GLA","mae Norman yn yn yn aelod hefyd ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","391","1","1","2","ROB","oh yndy ","cym","biling","biling","wbb","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","395","1","1","5","ROB","achos um mae yn ryfedd ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","417","1","1","11","GLA","a yr un peth efo efo Ffion hefyd dw i meddwl ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN=think.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","525","1","1","5","ROB","ydy o wedi bod yn ","cym","monoW","monoW","www","be.V.3S.PRES=be.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","532","1","1","6","ROB","ac ydy o right drws nesa ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","532","2","7","13","ROB","nesa i yr er i yr eglwys ","cym","biling","biling","wbb","next.ADJ.SUP.SPOKEN[or]approach.V.2S.IMPER[or]approach.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","532","3","14","14","ROB","yndy ","cym","monoW","biling","wwb","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","548","1","1","4","ROB","yn addoli fan yna ","cym","monoW","monoW","www","worship.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","556","1","1","4","ROB","achos doedd yna ddim ","cym","monoW","monoW","www","be.V.3S.IMPERF.NEG","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","556","2","5","12","ROB","doedd yna ddim ficerdy yna neu na dim_byd ","cym","monoW","monoW","www","be.V.3S.IMPERF.NEG","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","560","1","1","2","GLA","um mae ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","560","2","3","4","GLA","mae yna ","cym","monoW","biling","wwb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","560","3","5","20","GLA","mae yna ryw fath o o o fryn neu neu mynydd um tu ôl i reithordy ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","1","1","4","GLA","um ac mae yna ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","2","5","6","GLA","mae yna ","cym","monoW","biling","wwb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","3","7","7","GLA","faen ","cym","monoW","biling","wwb","be.V.3P.PRES.SPOKEN+SM[or]be.V.3P.SUBJ.PAST+SM[or]stone.N.M.SG+SM","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","4","8","11","GLA","sy yn um well ","cym","biling","biling","wbb","which_is.V.3SP.PRES.REL","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","5","12","13","GLA","sy yn ","cym","monoW","biling","wwb","which_is.V.3SP.PRES.REL","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","6","14","15","GLA","sy yn ","cym","monoW","biling","wwb","which_is.V.3SP.PRES.REL","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","7","16","18","GLA","sy yn drio ","cym","monoW","biling","wwb","which_is.V.3SP.PRES.REL=try.V.INFIN+SM","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","562","8","19","20","GLA","syrthio i_lawr ","cym","monoW","biling","wwb","fall.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","564","1","1","4","GLA","er ond um mae ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","564","2","5","7","GLA","mae yna chain ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","564","3","8","9","GLA","sy yn ","cym","monoW","biling","wwb","which_is.V.3SP.PRES.REL","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","564","4","10","16","GLA","sy yn cadw um y maen lle ","cym","biling","biling","wbb","which_is.V.3SP.PRES.REL=keep.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","564","5","17","19","GLA","lle mae o ","cym","monoW","biling","wwb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","568","1","1","4","GLA","ond mae yn um ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","568","2","5","12","GLA","mae yn edrych tipyn bach yn yn peryglus ","cym","monoW","biling","wwb","be.V.3S.PRES=look.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","568","3","13","16","GLA","a deud y gwir ","cym","monoW","biling","wwb","say.V.INFIN.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","569","1","1","1","ROB","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","570","1","1","7","GLA","so um um oh er roedd um ","cym","biling","biling","wbb","be.V.3S.IMPERF.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","570","2","8","11","GLA","pan oedd um um ","cym","biling","biling","wbb","be.V.3S.IMPERF","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","570","3","12","21","GLA","pan oedd Martin_Hutchins yno yn um yn y nawdegau um ","cym","biling","biling","wbb","be.V.3S.IMPERF","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","570","4","22","30","GLA","doedd o dim um yn yn yn fodlon um ","cym","biling","biling","wbb","be.V.3S.IMPERF.NEG","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","570","5","31","38","GLA","byw yn y yn y reithordy go iawn ","cym","monoW","biling","wwb","live.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","573","1","1","6","ROB","ond mae yr adeilad dal yna ","cym","monoW","monoW","www","be.V.3S.PRES=hold.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","573","2","7","7","ROB","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","574","1","1","5","GLA","mmm oh yeah mae o ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","574","2","6","9","GLA","mae yn dal yna ","cym","monoW","biling","wwb","be.V.3S.PRES=hold.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","575","1","1","1","ROB","oedd ","cym","monoW","monoW","www","be.V.3S.IMPERF","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","575","2","2","6","ROB","ac ydy o wag wan ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","575","3","7","8","ROB","yndy neu ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","576","1","1","4","GLA","um mae well um ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","576","2","5","7","GLA","mae yn cael ","cym","monoW","biling","wwb","be.V.3S.PRES=have.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","576","3","8","11","GLA","ei defnyddio rŵan fel ","cym","monoW","biling","wwb","use.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","576","4","12","15","GLA","care in the community ","eng","monoE","biling","eeb","care.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","580","1","1","5","GLA","well um mae nhw yn ","cym","biling","biling","wbb","be.V.3S.PRES","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","580","2","6","14","GLA","mae nhw yn drefnu cyrsiau er pethau fel yna ","cym","biling","biling","wbb","be.V.3S.PRES=arrange.V.INFIN+SM","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","583","1","1","15","GLA","um ac efo bobl sy gan um gan broblemau um seicolegol er seic seicoleg seicolegaidd ","cym","biling","biling","wbb","which_is.V.3SP.PRES.REL","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","584","1","1","4","ROB","yeah seicolegol dw meddwl ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN=think.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","588","1","1","3","ROB","ond ydy o ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","588","2","4","13","ROB","os dydy o ddim yn yn ddiogel i i i ","cym","monoW","monoW","www","be.V.3S.PRES.NEG.SPOKEN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","588","3","14","14","ROB","timod ","cym","monoW","monoW","www","know.V.2S.PRES.SPOKEN","3","1","2","2","2","2","0","1","4","3"
"Siarad","davies17","589","1","1","5","GLA","well mae nhw yn deud ","cym","biling","biling","wbb","be.V.3S.PRES=say.V.INFIN.SPOKEN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","589","2","6","12","GLA","bod un um un yn digon diogel ","cym","biling","biling","wbb","be.V.INFIN","5","4","3","3","3","3","3","3","3","1.6"
"Siarad","davies17","591","1","1","6","ROB","dydy o ddim yn edrych felly ","cym","monoW","monoW","www","be.V.3S.PRES.NEG.SPOKEN=look.V.INFIN","3","1","2","2","2","2","0","1","4","3"
"Siarad","fusser7","210","1","0","7","BLO","mae yn dibynnu faint o er tew ","cym","biling","biling","wbb","be.V.3S.PRES=depend.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","210","2","8","10","BLO","ydy yr jeans ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","211","1","1","2","BLO","dw i ","cym","monoW","biling","wwb","be.V.1S.PRES.SPOKEN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","211","2","3","16","BLO","dw i heb wedi trio yr ar jeans eto just ar darn o defnydd ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN=try.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","213","1","1","8","BLO","wneith hwnna wneud o yn dwt iddi ti ","cym","monoW","monoW","www","do.V.3S.FUT+SM=make.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","213","2","9","9","BLO","dallt ","cym","monoW","monoW","www","understand.V.INFIN.SPOKEN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","213","3","10","12","BLO","be dw feddwl ","cym","monoW","monoW","www","be.V.1S.PRES.SPOKEN=think.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","215","1","1","5","BLO","wna i weld o gynta ","cym","monoW","monoW","www","do.V.13S.PRES+SM=see.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","219","1","1","4","ANE","wnaeth hi brynu jeans ","cym","biling","biling","wbb","do.V.3S.PAST+SM=buy.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","220","1","1","8","ANE","a mae nhw yn jeans bach del sti ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","221","1","1","5","ANE","ond mae nhw yn massive ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","222","1","1","2","ANE","a timod ","cym","monoW","monoW","www","know.V.2S.PRES.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","222","2","3","6","ANE","mae hi yn dal ","cym","monoW","monoW","www","be.V.3S.PRES=hold.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","222","3","7","7","ANE","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","223","1","1","1","BLO","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","224","1","1","5","ANE","ond mae nhw yn hir ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","226","1","1","3","ANE","oedd hi meddwl ","cym","monoW","biling","wwb","be.V.3S.IMPERF=think.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","226","2","4","12","ANE","basai yr boots yn um yn iawn efo nhw ","cym","biling","biling","wbb","be.V.3S.PLUPERF.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","228","1","1","7","ANE","ond dydy o ddim wedi wneud dim ","cym","monoW","monoW","www","be.V.3S.PRES.NEG.SPOKEN=make.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","229","1","1","3","ANE","na mae o ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","229","2","4","7","ANE","mae nhw yn hongian ","cym","monoW","monoW","www","be.V.3S.PRES=hang.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","231","1","1","7","ANE","a mae nhw yn really hir sti ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","232","1","1","4","ANE","baswn i yn deud ","cym","monoW","biling","wwb","be.V.1S.PLUPERF.SPOKEN=say.V.INFIN.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","232","2","5","8","ANE","bod nhw tua thirty_four ","cym","biling","biling","wbb","be.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","236","1","1","5","BLO","um so mae edrych fel ","cym","biling","biling","wbb","be.V.3S.PRES=look.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","236","2","6","13","BLO","dan ni yn cael y pres yma felly ","cym","monoW","biling","wwb","be.V.1P.PRES.SPOKEN=have.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","243","1","1","6","BLO","oh mae yn iawn felly hwnna ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","245","1","1","6","BLO","ond mae yr thing efo um ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","245","2","7","16","BLO","cael nhw yn Galeri yn ddau wahanol beth grant arall ","cym","biling","biling","wbb","have.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","246","1","1","5","BLO","ydy o ddwy wahanol grant ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","251","1","1","6","BLO","fi a Aneira sy yn siarad ","cym","biling","biling","wbb","which_is.V.3SP.PRES.REL=talk.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","424","1","1","1","ANE","dyna ","","monoW","monoW","","","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","424","2","2","6","ANE","mae nhw yn gofyn yn_de ","cym","monoW","monoW","www","be.V.3S.PRES=ask.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","434","1","1","6","ANE","yeah fan yna fydd o yeah ","cym","biling","biling","wbb","be.V.3S.FUT+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","439","1","1","5","ANE","mae rheina wedi cael interviews ","cym","biling","biling","wbb","be.V.3S.PRES=have.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","439","2","6","6","ANE","yndyn ","cym","monoW","biling","wwb","be.V.3P.PRES.EMPH","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","441","1","1","7","BLO","dw ddim yn saff iawn os September ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","441","2","8","10","BLO","sy yn dŵad ","cym","monoW","biling","wwb","which_is.V.3SP.PRES.REL=com.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","441","3","11","13","BLO","oedd y llall ","cym","monoW","biling","wwb","be.V.3S.IMPERF","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","443","1","1","4","BLO","oh wneith o ideal ","cym","biling","biling","wbb","do.V.3S.FUT+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","443","2","5","6","BLO","wneith i ","cym","monoW","biling","wwb","do.V.3S.FUT+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","444","1","1","4","ANE","oh ges i lythyr ","cym","biling","biling","wbb","get.V.1S.PAST.SPOKEN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","444","2","5","6","ANE","yn deud ","cym","monoW","biling","wwb","say.V.INFIN.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","444","3","7","7","ANE","timod ","cym","monoW","biling","wwb","know.V.2S.PRES.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","444","4","8","13","ANE","bod y y cwrs yn llawn ","cym","monoW","biling","wwb","be.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","445","1","1","9","ANE","ond um mae enw fi lawr i September felly ","cym","biling","biling","wbb","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","445","2","10","16","ANE","os dw i dal isio wneud o ","cym","monoW","biling","wwb","be.V.1S.PRES.SPOKEN=hold.V.INFIN=make.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","445","3","17","17","ANE","timod ","cym","monoW","biling","wwb","know.V.2S.PRES.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","447","1","1","4","BLO","so hwnna ydy o ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","448","1","1","10","BLO","a five pound five mae nhw yn talu yr awr ","cym","biling","biling","wbb","be.V.3S.PRES=pay.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","449","1","1","10","BLO","a wedyn mae yr cylch yn cael per um person ","cym","biling","biling","wbb","be.V.3S.PRES=have.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","449","2","11","28","BLO","mae ni yn trenio i_fewn yn y cylch three three hundred and thirty_three pound per term per trainee ","cym","biling","biling","wbb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","451","1","1","7","ANE","raid i mi dalu nhw felly just ","cym","biling","biling","wbb","pay.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","452","1","1","3","BLO","naci mae hwnna ","cym","monoW","monoW","www","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","454","1","1","7","BLO","dim i dalu ni i trenio nhw ","cym","monoW","monoW","www","pay.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","455","1","1","7","BLO","just i mynd i_fewn i yr cylch ","cym","biling","biling","wbb","go.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","457","1","1","8","BLO","fath â incentive ydy o i chdi cael ","cym","biling","biling","wbb","be.V.3S.PRES=have.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","458","1","1","10","ANE","oh na o'n i yn meddwl na fath â um ","cym","biling","biling","wbb","think.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","458","2","11","13","ANE","i dalu nhw ","cym","monoW","biling","wwb","pay.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","458","3","14","15","ANE","oedd o ","cym","monoW","biling","wwb","be.V.3S.IMPERF","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","461","1","1","9","BLO","na mae hwnna yn mynd i_fewn i yr cylch ","cym","monoW","monoW","www","be.V.3S.PRES=go.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","466","1","1","4","ANE","mae hynna yn dda ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","466","2","5","5","ANE","yndy ","cym","monoW","monoW","www","be.V.3S.PRES.EMPH","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","469","1","1","9","ANE","ydy hwnna yn talu cyflog rywun am term de ","cym","biling","biling","wbb","be.V.3S.PRES=pay.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","471","1","1","2","ANE","nag ydy ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","611","1","1","5","BLO","so ydy hi wedi disgyn ","cym","biling","biling","wbb","be.V.3S.PRES=descend.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","611","2","6","6","BLO","gysgu ","cym","monoW","biling","wwb","sleep.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","611","3","7","10","BLO","a mae o wedi ","cym","monoW","biling","wwb","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","649","1","1","2","BLO","oedd hwnna ","cym","monoW","monoW","www","be.V.3S.IMPERF","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","666","1","1","5","ANE","oedd hi yn crio bechod ","cym","monoW","monoW","www","be.V.3S.IMPERF=cry.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","668","1","1","14","ANE","wedyn oedd y ci wedi mynd â ei doll brat hi allan yn cefn ","cym","biling","biling","wbb","be.V.3S.IMPERF=go.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","669","1","1","5","ANE","so oedd hi ddim yn ","cym","biling","biling","wbb","be.V.3S.IMPERF","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","669","2","6","9","ANE","amused bore yma de ","eng","biling","biling","ebb","amuse.V.PASTPART","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","670","1","1","3","ANE","mae raid fi ","cym","monoW","monoW","www","be.V.3S.PRES","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","671","1","1","7","BLO","dw i ddim yn sbïo yn bedroom ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN=look.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","672","1","1","10","BLO","oedd bedroom Freddie dillad glân o yeah i_gyd ar llawr ","cym","biling","biling","wbb","be.V.3S.IMPERF","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","673","1","1","8","BLO","so fydd raid fi olchi nhw eto yn_fydd ","cym","biling","biling","wbb","be.V.3S.FUT+SM=wash.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","674","1","1","6","ANE","a dim just ti yn gwybod ","cym","biling","biling","wbb","know.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","674","2","7","12","ANE","be sy yn gael fi yeah ","cym","biling","biling","wbb","which_is.V.3SP.PRES.REL=have.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","676","1","1","2","ANE","wedyn timod ","cym","monoW","biling","wwb","know.V.2S.PRES.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","676","2","3","15","ANE","fydda i ddim yn mynd i bedroom top yna tan bob dydd Sul ","cym","biling","biling","wbb","be.V.1S.FUT+SM=go.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","676","3","16","17","ANE","timod a ","cym","monoW","biling","wwb","know.V.2S.PRES.SPOKEN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","677","1","1","3","ANE","right cliriwch bedroom ","cym","biling","biling","wbb","clear.V.2P.PRES[or]clear.V.2P.IMPER","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","678","1","1","6","ANE","dillad i_lawr a cliriwch y bedroom ","cym","biling","biling","wbb","clear.V.2P.PRES[or]clear.V.2P.IMPER","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","679","1","1","5","ANE","a mi wnawn nhw wneud ","cym","monoW","monoW","www","do.V.1S.IMPERF+SM[or]do.V.1P.PRES+SM=make.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","680","1","1","5","ANE","basen nhw ddim yn meddwl ","cym","monoW","monoW","www","be.V.3P.PLUPERF.SPOKEN=think.V.INFIN","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","680","2","6","8","ANE","wneud eu hunain ","cym","monoW","monoW","www","make.V.INFIN+SM","3","1","2","2","2","2","2","2","2","1.4"
"Siarad","fusser7","685","1","1","3","BLO","yeah dw gwybod ","cym","biling","biling","wbb","be.V.1S.PRES.SPOKEN=know.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","690","1","1","8","BLO","a fath â timod dros Dolig o'n i ","cym","monoW","biling","wwb","know.V.2S.PRES.SPOKEN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","690","2","9","10","BLO","yn gwybod ","cym","monoW","biling","wwb","know.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","690","3","11","15","BLO","bod y uniforms o'n i ","cym","biling","biling","wbb","be.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","690","4","16","20","BLO","wedi wneud nhw yn syth ","cym","monoW","biling","wwb","make.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","692","1","1","12","BLO","a wedyn New Year's Eve ia oedden nhw nôl lawr yna de ","cym","biling","biling","wbb","be.V.3P.IMPERF.SPOKEN=fetch.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","695","1","1","5","BLO","be ti yn wneud yeah ","cym","biling","biling","wbb","make.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","696","1","1","6","BLO","dach chi heb wedi gwisgo nhw ","cym","monoW","monoW","www","be.V.2P.PRES.SPOKEN=dress.V.INFIN","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser7","696","2","7","11","BLO","ond mae nhw yn fudr ","cym","monoW","monoW","www","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1"
"Siarad","fusser14","213","1","1","14","BEL","so gawson ni pasta efo saws tomato a fennel efo salad avocado a cnau ","cym","biling","biling","wbb","get.V.3P.PAST+SM","5","1","2","2","2","2","2","2","1","1.4"
"Siarad","fusser14","215","1","1","5","AWE","ti ddim yn cofio hynna ","cym","monoW","monoW","www","remember.V.INFIN","1","3","1","1","1","1","2","1.5","1","1"
